,fecha,estado,casos
300,2020-01-10,13,0
301,2020-01-10,14,0
302,2020-01-10,15,0
303,2020-01-10,16,0
304,2020-01-10,17,0
305,2020-01-10,18,0
306,2020-01-10,19,0
307,2020-01-10,20,0
308,2020-01-10,21,0
309,2020-01-10,22,0
310,2020-01-10,23,0
311,2020-01-10,24,0
312,2020-01-10,25,0
313,2020-01-10,26,0
314,2020-01-10,27,0
315,2020-01-10,28,0
316,2020-01-10,29,2
317,2020-01-10,30,0
318,2020-01-10,31,0
319,2020-01-10,32,0
320,2020-01-11,1,0
321,2020-01-11,2,0
322,2020-01-11,3,0
323,2020-01-11,4,0
324,2020-01-11,5,0
325,2020-01-11,6,0
326,2020-01-11,7,0
327,2020-01-11,8,0
328,2020-01-11,9,0
329,2020-01-11,10,0
330,2020-01-11,11,0
331,2020-01-11,12,0
332,2020-01-11,13,0
333,2020-01-11,14,0
334,2020-01-11,15,0
335,2020-01-11,16,0
336,2020-01-11,17,0
337,2020-01-11,18,0
338,2020-01-11,19,0
339,2020-01-11,20,0
340,2020-01-11,21,0
341,2020-01-11,22,0
342,2020-01-11,23,0
343,2020-01-11,24,0
344,2020-01-11,25,0
345,2020-01-11,26,0
346,2020-01-11,27,0
347,2020-01-11,28,0
348,2020-01-11,29,0
349,2020-01-11,30,0
350,2020-01-11,31,0
351,2020-01-11,32,0
352,2020-01-12,1,0
353,2020-01-12,2,0
354,2020-01-12,3,0
355,2020-01-12,4,0
356,2020-01-12,5,0
357,2020-01-12,6,0
358,2020-01-12,7,0
359,2020-01-12,8,0
360,2020-01-12,9,0
361,2020-01-12,10,0
362,2020-01-12,11,0
363,2020-01-12,12,0
364,2020-01-12,13,0
365,2020-01-12,14,0
366,2020-01-12,15,0
367,2020-01-12,16,0
368,2020-01-12,17,0
369,2020-01-12,18,0
370,2020-01-12,19,0
371,2020-01-12,20,0
372,2020-01-12,21,0
373,2020-01-12,22,0
374,2020-01-12,23,0
375,2020-01-12,24,0
376,2020-01-12,25,0
377,2020-01-12,26,0
378,2020-01-12,27,0
379,2020-01-12,28,0
380,2020-01-12,29,0
381,2020-01-12,30,0
382,2020-01-12,31,0
383,2020-01-12,32,0
384,2020-01-13,1,0
385,2020-01-13,2,0
386,2020-01-13,3,0
387,2020-01-13,4,0
388,2020-01-13,5,0
389,2020-01-13,6,0
390,2020-01-13,7,0
391,2020-01-13,8,0
392,2020-01-13,9,0
393,2020-01-13,10,0
394,2020-01-13,11,0
395,2020-01-13,12,0
396,2020-01-13,13,0
397,2020-01-13,14,0
398,2020-01-13,15,0
399,2020-01-13,16,0
400,2020-01-13,17,0
401,2020-01-13,18,0
402,2020-01-13,19,0
403,2020-01-13,20,0
404,2020-01-13,21,0
405,2020-01-13,22,0
406,2020-01-13,23,0
407,2020-01-13,24,0
408,2020-01-13,25,0
409,2020-01-13,26,0
410,2020-01-13,27,0
411,2020-01-13,28,0
412,2020-01-13,29,1
413,2020-01-13,30,0
414,2020-01-13,31,0
415,2020-01-13,32,0
416,2020-01-14,1,0
417,2020-01-14,2,0
418,2020-01-14,3,0
419,2020-01-14,4,0
420,2020-01-14,5,0
421,2020-01-14,6,0
422,2020-01-14,7,0
423,2020-01-14,8,0
424,2020-01-14,9,0
425,2020-01-14,10,0
426,2020-01-14,11,0
427,2020-01-14,12,0
428,2020-01-14,13,0
429,2020-01-14,14,0
430,2020-01-14,15,1
431,2020-01-14,16,0
432,2020-01-14,17,0
433,2020-01-14,18,0
434,2020-01-14,19,0
435,2020-01-14,20,0
436,2020-01-14,21,0
437,2020-01-14,22,0
438,2020-01-14,23,0
439,2020-01-14,24,0
440,2020-01-14,25,0
441,2020-01-14,26,0
442,2020-01-14,27,0
443,2020-01-14,28,0
444,2020-01-14,29,0
445,2020-01-14,30,0
446,2020-01-14,31,0
447,2020-01-14,32,0
448,2020-01-15,1,0
449,2020-01-15,2,0
450,2020-01-15,3,0
451,2020-01-15,4,0
452,2020-01-15,5,0
453,2020-01-15,6,0
454,2020-01-15,7,0
455,2020-01-15,8,0
456,2020-01-15,9,0
457,2020-01-15,10,0
458,2020-01-15,11,0
459,2020-01-15,12,0
460,2020-01-15,13,0
461,2020-01-15,14,0
462,2020-01-15,15,0
463,2020-01-15,16,0
464,2020-01-15,17,0
465,2020-01-15,18,0
466,2020-01-15,19,0
467,2020-01-15,20,0
468,2020-01-15,21,0
469,2020-01-15,22,0
470,2020-01-15,23,0
471,2020-01-15,24,0
472,2020-01-15,25,0
473,2020-01-15,26,0
474,2020-01-15,27,0
475,2020-01-15,28,0
476,2020-01-15,29,0
477,2020-01-15,30,0
478,2020-01-15,31,0
479,2020-01-15,32,0
480,2020-01-16,1,0
481,2020-01-16,2,0
482,2020-01-16,3,0
483,2020-01-16,4,0
484,2020-01-16,5,0
485,2020-01-16,6,0
486,2020-01-16,7,0
487,2020-01-16,8,0
488,2020-01-16,9,0
489,2020-01-16,10,0
490,2020-01-16,11,0
491,2020-01-16,12,0
492,2020-01-16,13,0
493,2020-01-16,14,0
494,2020-01-16,15,0
495,2020-01-16,16,0
496,2020-01-16,17,0
497,2020-01-16,18,0
498,2020-01-16,19,0
499,2020-01-16,20,0
500,2020-01-16,21,0
501,2020-01-16,22,0
502,2020-01-16,23,0
503,2020-01-16,24,0
504,2020-01-16,25,0
505,2020-01-16,26,0
506,2020-01-16,27,0
507,2020-01-16,28,0
508,2020-01-16,29,0
509,2020-01-16,30,0
510,2020-01-16,31,0
511,2020-01-16,32,0
512,2020-01-17,1,0
513,2020-01-17,2,0
514,2020-01-17,3,0
515,2020-01-17,4,0
516,2020-01-17,5,0
517,2020-01-17,6,0
518,2020-01-17,7,0
519,2020-01-17,8,0
520,2020-01-17,9,0
521,2020-01-17,10,0
522,2020-01-17,11,0
523,2020-01-17,12,0
524,2020-01-17,13,0
525,2020-01-17,14,0
526,2020-01-17,15,0
527,2020-01-17,16,0
528,2020-01-17,17,0
529,2020-01-17,18,0
530,2020-01-17,19,0
531,2020-01-17,20,0
532,2020-01-17,21,0
533,2020-01-17,22,0
534,2020-01-17,23,0
535,2020-01-17,24,0
536,2020-01-17,25,0
537,2020-01-17,26,0
538,2020-01-17,27,0
539,2020-01-17,28,0
540,2020-01-17,29,1
541,2020-01-17,30,0
542,2020-01-17,31,0
543,2020-01-17,32,0
544,2020-01-18,1,0
545,2020-01-18,2,0
546,2020-01-18,3,0
547,2020-01-18,4,0
548,2020-01-18,5,0
549,2020-01-18,6,0
550,2020-01-18,7,0
551,2020-01-18,8,0
552,2020-01-18,9,0
553,2020-01-18,10,0
554,2020-01-18,11,0
555,2020-01-18,12,0
556,2020-01-18,13,0
557,2020-01-18,14,0
558,2020-01-18,15,0
559,2020-01-18,16,0
560,2020-01-18,17,0
